id,title,description,availability,condition,price,link,image_link,brand,product_type
bh-avital-3-3p,"3 pièces – Avital 3, Jerusalem","Programme neuf à Avital 3, quartier Makor Haim, Jerusalem. Promoteur reconnu. Appartements de 3 pièces, 83 m². Livraison décembre 2027 ou juin 2028. Avec parking et cave selon les appartements. À partir de 3 850 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3850000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-avital-3-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-avital-3-3p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-avital-3-4p,"4 pièces – Avital 3, Jerusalem","Programme neuf à Avital 3, quartier Makor Haim, Jerusalem. Promoteur reconnu. Appartements de 4 pièces, 99 m². Livraison décembre 2027 ou juin 2028. Avec parking et cave selon les appartements. À partir de 4 600 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,4600000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-avital-3-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-avital-3-4p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-botanic-3p,"3 pièces – Botanic, Jerusalem","Programme neuf à Botanic, quartier Kiryat Menahem, Jerusalem. Promoteur reconnu. Appartements de 3 pièces, 83 m². Livraison fevrier 2030. Avec parking selon les appartements. À partir de 2 500 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2500000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-botanic-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-botanic-3p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-botanic-4p,"4 pièces – Botanic, Jerusalem","Programme neuf à Botanic, quartier Kiryat Menahem, Jerusalem. Promoteur reconnu. Appartements de 4 pièces, de 91 à 111 m². Livraison juillet 2029. Avec parking et cave selon les appartements. À partir de 3 270 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3270000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-botanic-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-botanic-4p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-botanic-5p,"5 pièces – Botanic, Jerusalem","Programme neuf à Botanic, quartier Kiryat Menahem, Jerusalem. Promoteur reconnu. Appartements de 5 pièces, de 112 à 128 m². Avec parking et cave selon les appartements. À partir de 3 277 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3277000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-botanic-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-botanic-5p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-hadassa-aktana-2p,"2 pièces – Hadassa Aktana, Jerusalem","Programme neuf à Hadassa Aktana, quartier Kiryat Yovel, Jerusalem. Promoteur reconnu. Appartements de 2 pièces, 50 m². Livraison immédiate. Avec parking et cave selon les appartements. À partir de 2 300 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2300000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-hadassa-aktana-2p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-hadassa-aktana-2p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-holyland-boutique-3p,"3 pièces – Holyland Boutique, Jerusalem","Programme neuf à Holyland Boutique, quartier Bayit VeGan, Jerusalem. Promoteur reconnu. Appartements de 3 pièces, 85 m². Livraison Septembre 2030. À partir de 3 090 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3090000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-holyland-boutique-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-holyland-boutique-3p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-holyland-boutique-4p,"4 pièces – Holyland Boutique, Jerusalem","Programme neuf à Holyland Boutique, quartier Bayit VeGan, Jerusalem. Promoteur reconnu. Appartements de 4 pièces, 109 m². Livraison Septembre 2030. À partir de 4 000 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,4000000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-holyland-boutique-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-holyland-boutique-4p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-holyland-boutique-5p,"5 pièces – Holyland Boutique, Jerusalem","Programme neuf à Holyland Boutique, quartier Bayit VeGan, Jerusalem. Promoteur reconnu. Appartements de 5 pièces, 124 m². Livraison Septembre 2030. À partir de 4 616 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,4616000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-holyland-boutique-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-holyland-boutique-5p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-holyland-boutique-6p,"6 pièces – Holyland Boutique, Jerusalem","Programme neuf à Holyland Boutique, quartier Bayit VeGan, Jerusalem. Promoteur reconnu. Appartements de 6 pièces, de 143 à 186 m². Livraison Septembre 2030. À partir de 5 273 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,5273000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-holyland-boutique-6p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-holyland-boutique-6p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-holyland-tower-3p,"3 pièces – Holyland Tower, Jerusalem","Programme neuf à Holyland Tower, quartier Bayit VeGan, Jerusalem. Promoteur reconnu. Appartements de 3 pièces, 81 m². Livraison Mars 2028. À partir de 3 505 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3505000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-holyland-tower-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-holyland-tower-3p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
bh-holyland-tower-4p,"4 pièces – Holyland Tower, Jerusalem","Programme neuf à Holyland Tower, quartier Bayit VeGan, Jerusalem. Promoteur reconnu. Appartements de 4 pièces, 108 m². Livraison Mars 2028. À partir de 3 960 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3960000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-holyland-tower-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-holyland-tower-4p.jpg,BH Nadlan,Immobilier neuf > Jerusalem
